surname,frequency,cumulative_frequency,rank,source
CRUZ,0.075,20.244,118,US Census 1990
MARSHALL,0.075,20.319,119,US Census 1990
ORTIZ,0.075,20.394,120,US Census 1990
GOMEZ,0.075,20.468,121,US Census 1990
MURRAY,0.074,20.543,122,US Census 1990
FREEMAN,0.074,20.617,123,US Census 1990
WELLS,0.073,20.69,124,US Census 1990
WEBB,0.072,20.762,125,US Census 1990
SIMPSON,0.07,20.832,126,US Census 1990
STEVENS,0.07,20.902,127,US Census 1990
TUCKER,0.07,20.971,128,US Census 1990
PORTER,0.069,21.041,129,US Census 1990
HUNTER,0.069,21.11,130,US Census 1990
HICKS,0.069,21.178,131,US Census 1990
CRAWFORD,0.068,21.246,132,US Census 1990
HENRY,0.068,21.314,133,US Census 1990
BOYD,0.068,21.381,134,US Census 1990
MASON,0.068,21.449,135,US Census 1990
MORALES,0.067,21.516,136,US Census 1990
KENNEDY,0.067,21.582,137,US Census 1990
WARREN,0.067,21.649,138,US Census 1990
DIXON,0.066,21.715,139,US Census 1990
RAMOS,0.066,21.782,140,US Census 1990
REYES,0.066,21.848,141,US Census 1990
BURNS,0.065,21.913,142,US Census 1990
GORDON,0.065,21.978,143,US Census 1990
SHAW,0.065,22.043,144,US Census 1990
HOLMES,0.065,22.108,145,US Census 1990
RICE,0.064,22.172,146,US Census 1990
ROBERTSON,0.064,22.236,147,US Census 1990
HUNT,0.063,22.299,148,US Census 1990
BLACK,0.063,22.362,149,US Census 1990
DANIELS,0.062,22.425,150,US Census 1990
PALMER,0.062,22.487,151,US Census 1990
MILLS,0.061,22.547,152,US Census 1990
NICHOLS,0.06,22.607,153,US Census 1990
GRANT,0.06,22.667,154,US Census 1990
KNIGHT,0.06,22.727,155,US Census 1990
FERGUSON,0.059,22.786,156,US Census 1990
ROSE,0.059,22.845,157,US Census 1990
STONE,0.059,22.904,158,US Census 1990
HAWKINS,0.059,22.963,159,US Census 1990
DUNN,0.058,23.022,160,US Census 1990
PERKINS,0.058,23.079,161,US Census 1990
HUDSON,0.058,23.137,162,US Census 1990
SPENCER,0.057,23.194,163,US Census 1990
GARDNER,0.057,23.251,164,US Census 1990
STEPHENS,0.057,23.308,165,US Census 1990
PAYNE,0.057,23.365,166,US Census 1990
PIERCE,0.056,23.421,167,US Census 1990
BERRY,0.056,23.477,168,US Census 1990
MATTHEWS,0.056,23.533,169,US Census 1990
ARNOLD,0.056,23.589,170,US Census 1990
WAGNER,0.055,23.645,171,US Census 1990
WILLIS,0.055,23.7,172,US Census 1990
RAY,0.055,23.755,173,US Census 1990
WATKINS,0.055,23.811,174,US Census 1990
OLSON,0.055,23.866,175,US Census 1990
CARROLL,0.055,23.921,176,US Census 1990
DUNCAN,0.055,23.976,177,US Census 1990
SNYDER,0.055,24.031,178,US Census 1990
HART,0.054,24.086,179,US Census 1990
CUNNINGHAM,0.054,24.14,180,US Census 1990
BRADLEY,0.054,24.194,181,US Census 1990
LANE,0.054,24.247,182,US Census 1990
ANDREWS,0.054,24.301,183,US Census 1990
RUIZ,0.054,24.355,184,US Census 1990
HARPER,0.054,24.408,185,US Census 1990
FOX,0.053,24.462,186,US Census 1990
RILEY,0.053,24.515,187,US Census 1990
ARMSTRONG,0.053,24.568,188,US Census 1990
CARPENTER,0.053,24.621,189,US Census 1990
WEAVER,0.053,24.673,190,US Census 1990
GREENE,0.053,24.726,191,US Census 1990
LAWRENCE,0.052,24.779,192,US Census 1990
ELLIOTT,0.052,24.831,193,US Census 1990
CHAVEZ,0.052,24.883,194,US Census 1990
SIMS,0.052,24.936,195,US Census 1990
AUSTIN,0.052,24.988,196,US Census 1990
PETERS,0.052,25.04,197,US Census 1990
KELLEY,0.052,25.092,198,US Census 1990
FRANKLIN,0.051,25.143,199,US Census 1990
LAWSON,0.051,25.195,200,US Census 1990
FIELDS,0.051,25.246,201,US Census 1990
GUTIERREZ,0.051,25.297,202,US Census 1990
RYAN,0.051,25.348,203,US Census 1990
SCHMIDT,0.051,25.4,204,US Census 1990
CARR,0.051,25.451,205,US Census 1990
VASQUEZ,0.051,25.502,206,US Census 1990
CASTILLO,0.051,25.552,207,US Census 1990
WHEELER,0.051,25.603,208,US Census 1990
CHAPMAN,0.05,25.653,209,US Census 1990
OLIVER,0.05,25.703,210,US Census 1990
MONTGOMERY,0.049,25.753,211,US Census 1990
RICHARDS,0.049,25.802,212,US Census 1990
WILLIAMSON,0.049,25.851,213,US Census 1990
JOHNSTON,0.049,25.9,214,US Census 1990
BANKS,0.048,25.948,215,US Census 1990
MEYER,0.048,25.996,216,US Census 1990
BISHOP,0.048,26.045,217,US Census 1990
MCCOY,0.048,26.093,218,US Census 1990
HOWELL,0.048,26.14,219,US Census 1990
ALVAREZ,0.048,26.188,220,US Census 1990
MORRISON,0.048,26.235,221,US Census 1990
HANSEN,0.047,26.283,222,US Census 1990
FERNANDEZ,0.047,26.33,223,US Census 1990
GARZA,0.047,26.377,224,US Census 1990
HARVEY,0.047,26.424,225,US Census 1990
LITTLE,0.046,26.47,226,US Census 1990
BURTON,0.046,26.516,227,US Census 1990
STANLEY,0.046,26.562,228,US Census 1990
NGUYEN,0.046,26.608,229,US Census 1990
GEORGE,0.046,26.653,230,US Census 1990
JACOBS,0.046,26.699,231,US Census 1990
REID,0.046,26.745,232,US Census 1990
KIM,0.045,26.79,233,US Census 1990
FULLER,0.045,26.835,234,US Census 1990
LYNCH,0.045,26.88,235,US Census 1990
DEAN,0.045,26.925,236,US Census 1990
GILBERT,0.045,26.97,237,US Census 1990
GARRETT,0.045,27.015,238,US Census 1990
ROMERO,0.045,27.059,239,US Census 1990
WELCH,0.044,27.104,240,US Census 1990
LARSON,0.044,27.148,241,US Census 1990
FRAZIER,0.044,27.192,242,US Census 1990
BURKE,0.044,27.235,243,US Census 1990
HANSON,0.043,27.279,244,US Census 1990
DAY,0.043,27.322,245,US Census 1990
MENDOZA,0.043,27.365,246,US Census 1990
MORENO,0.043,27.407,247,US Census 1990
BOWMAN,0.043,27.45,248,US Census 1990
MEDINA,0.042,27.492,249,US Census 1990
FOWLER,0.042,27.535,250,US Census 1990
BREWER,0.042,27.577,251,US Census 1990
HOFFMAN,0.042,27.619,252,US Census 1990
CARLSON,0.042,27.661,253,US Census 1990
SILVA,0.042,27.703,254,US Census 1990
PEARSON,0.042,27.744,255,US Census 1990
HOLLAND,0.042,27.786,256,US Census 1990
DOUGLAS,0.041,27.827,257,US Census 1990
FLEMING,0.041,27.868,258,US Census 1990
JENSEN,0.041,27.909,259,US Census 1990
VARGAS,0.041,27.95,260,US Census 1990
BYRD,0.041,27.991,261,US Census 1990
DAVIDSON,0.041,28.032,262,US Census 1990
HOPKINS,0.041,28.072,263,US Census 1990
MAY,0.04,28.113,264,US Census 1990
TERRY,0.04,28.153,265,US Census 1990
HERRERA,0.04,28.193,266,US Census 1990
WADE,0.04,28.233,267,US Census 1990
SOTO,0.04,28.273,268,US Census 1990
WALTERS,0.04,28.313,269,US Census 1990
CURTIS,0.04,28.352,270,US Census 1990
NEAL,0.039,28.392,271,US Census 1990
CALDWELL,0.039,28.431,272,US Census 1990
LOWE,0.039,28.471,273,US Census 1990
JENNINGS,0.039,28.51,274,US Census 1990
BARNETT,0.039,28.549,275,US Census 1990
GRAVES,0.039,28.588,276,US Census 1990
JIMENEZ,0.039,28.628,277,US Census 1990
HORTON,0.039,28.667,278,US Census 1990
SHELTON,0.039,28.706,279,US Census 1990
BARRETT,0.039,28.745,280,US Census 1990
OBRIEN,0.039,28.783,281,US Census 1990
CASTRO,0.039,28.822,282,US Census 1990
SUTTON,0.038,28.86,283,US Census 1990
GREGORY,0.038,28.899,284,US Census 1990
MCKINNEY,0.038,28.937,285,US Census 1990
LUCAS,0.038,28.975,286,US Census 1990
MILES,0.038,29.013,287,US Census 1990
CRAIG,0.038,29.051,288,US Census 1990
RODRIQUEZ,0.037,29.088,289,US Census 1990
CHAMBERS,0.037,29.126,290,US Census 1990
HOLT,0.037,29.163,291,US Census 1990
LAMBERT,0.037,29.2,292,US Census 1990
FLETCHER,0.037,29.237,293,US Census 1990
WATTS,0.037,29.274,294,US Census 1990
BATES,0.037,29.311,295,US Census 1990
HALE,0.037,29.348,296,US Census 1990
RHODES,0.037,29.385,297,US Census 1990
PENA,0.037,29.421,298,US Census 1990
BECK,0.037,29.458,299,US Census 1990
NEWMAN,0.036,29.494,300,US Census 1990
HAYNES,0.036,29.531,301,US Census 1990
MCDANIEL,0.036,29.567,302,US Census 1990
MENDEZ,0.036,29.603,303,US Census 1990
BUSH,0.036,29.639,304,US Census 1990
VAUGHN,0.036,29.675,305,US Census 1990
PARKS,0.035,29.711,306,US Census 1990
DAWSON,0.035,29.746,307,US Census 1990
SANTIAGO,0.035,29.781,308,US Census 1990
NORRIS,0.035,29.817,309,US Census 1990
HARDY,0.035,29.852,310,US Census 1990
LOVE,0.035,29.887,311,US Census 1990
STEELE,0.035,29.921,312,US Census 1990
CURRY,0.035,29.956,313,US Census 1990
POWERS,0.035,29.991,314,US Census 1990
SCHULTZ,0.035,30.025,315,US Census 1990
BARKER,0.035,30.06,316,US Census 1990
GUZMAN,0.034,30.094,317,US Census 1990
PAGE,0.034,30.129,318,US Census 1990
MUNOZ,0.034,30.163,319,US Census 1990
BALL,0.034,30.197,320,US Census 1990
KELLER,0.034,30.231,321,US Census 1990
CHANDLER,0.034,30.265,322,US Census 1990
WEBER,0.034,30.299,323,US Census 1990
LEONARD,0.034,30.333,324,US Census 1990
WALSH,0.033,30.366,325,US Census 1990
LYONS,0.033,30.4,326,US Census 1990
RAMSEY,0.033,30.433,327,US Census 1990
WOLFE,0.033,30.466,328,US Census 1990
SCHNEIDER,0.033,30.499,329,US Census 1990
MULLINS,0.033,30.532,330,US Census 1990
BENSON,0.033,30.565,331,US Census 1990
SHARP,0.033,30.598,332,US Census 1990
BOWEN,0.033,30.631,333,US Census 1990
DANIEL,0.033,30.663,334,US Census 1990
BARBER,0.032,30.696,335,US Census 1990
CUMMINGS,0.032,30.728,336,US Census 1990
HINES,0.032,30.76,337,US Census 1990
BALDWIN,0.032,30.793,338,US Census 1990
GRIFFITH,0.032,30.824,339,US Census 1990
VALDEZ,0.032,30.856,340,US Census 1990
HUBBARD,0.032,30.888,341,US Census 1990
SALAZAR,0.032,30.92,342,US Census 1990
REEVES,0.032,30.951,343,US Census 1990
WARNER,0.031,30.983,344,US Census 1990
STEVENSON,0.031,31.014,345,US Census 1990
BURGESS,0.031,31.045,346,US Census 1990
SANTOS,0.031,31.076,347,US Census 1990
TATE,0.031,31.107,348,US Census 1990
CROSS,0.031,31.138,349,US Census 1990
GARNER,0.031,31.169,350,US Census 1990
MANN,0.031,31.2,351,US Census 1990
MACK,0.031,31.231,352,US Census 1990
MOSS,0.031,31.262,353,US Census 1990
THORNTON,0.031,31.292,354,US Census 1990
DENNIS,0.031,31.323,355,US Census 1990
MCGEE,0.031,31.354,356,US Census 1990
FARMER,0.03,31.384,357,US Census 1990
DELGADO,0.03,31.415,358,US Census 1990
AGUILAR,0.03,31.445,359,US Census 1990
VEGA,0.03,31.475,360,US Census 1990
GLOVER,0.03,31.505,361,US Census 1990
MANNING,0.03,31.535,362,US Census 1990
COHEN,0.03,31.566,363,US Census 1990
HARMON,0.03,31.596,364,US Census 1990
RODGERS,0.03,31.626,365,US Census 1990
ROBBINS,0.03,31.656,366,US Census 1990
NEWTON,0.03,31.686,367,US Census 1990
TODD,0.03,31.716,368,US Census 1990
BLAIR,0.03,31.746,369,US Census 1990
HIGGINS,0.03,31.776,370,US Census 1990
INGRAM,0.03,31.806,371,US Census 1990
REESE,0.03,31.836,372,US Census 1990
CANNON,0.03,31.865,373,US Census 1990
STRICKLAND,0.03,31.895,374,US Census 1990
TOWNSEND,0.03,31.925,375,US Census 1990
POTTER,0.03,31.955,376,US Census 1990
GOODWIN,0.03,31.984,377,US Census 1990
WALTON,0.03,32.014,378,US Census 1990
ROWE,0.029,32.043,379,US Census 1990
HAMPTON,0.029,32.073,380,US Census 1990
ORTEGA,0.029,32.102,381,US Census 1990
PATTON,0.029,32.131,382,US Census 1990
SWANSON,0.029,32.161,383,US Census 1990
JOSEPH,0.029,32.19,384,US Census 1990
FRANCIS,0.029,32.219,385,US Census 1990
GOODMAN,0.029,32.248,386,US Census 1990
MALDONADO,0.029,32.277,387,US Census 1990
YATES,0.029,32.305,388,US Census 1990
BECKER,0.029,32.334,389,US Census 1990
ERICKSON,0.029,32.363,390,US Census 1990
HODGES,0.029,32.392,391,US Census 1990
RIOS,0.029,32.421,392,US Census 1990
CONNER,0.029,32.449,393,US Census 1990
ADKINS,0.029,32.478,394,US Census 1990
WEBSTER,0.028,32.506,395,US Census 1990
NORMAN,0.028,32.535,396,US Census 1990
MALONE,0.028,32.563,397,US Census 1990
HAMMOND,0.028,32.591,398,US Census 1990
FLOWERS,0.028,32.62,399,US Census 1990
COBB,0.028,32.648,400,US Census 1990
MOODY,0.028,32.676,401,US Census 1990
QUINN,0.028,32.704,402,US Census 1990
BLAKE,0.028,32.732,403,US Census 1990
MAXWELL,0.028,32.759,404,US Census 1990
POPE,0.028,32.787,405,US Census 1990
FLOYD,0.027,32.814,406,US Census 1990
OSBORNE,0.027,32.842,407,US Census 1990
PAUL,0.027,32.869,408,US Census 1990
MCCARTHY,0.027,32.896,409,US Census 1990
GUERRERO,0.027,32.924,410,US Census 1990
LINDSEY,0.027,32.951,411,US Census 1990
ESTRADA,0.027,32.978,412,US Census 1990
SANDOVAL,0.027,33.005,413,US Census 1990
GIBBS,0.027,33.032,414,US Census 1990
TYLER,0.027,33.059,415,US Census 1990
GROSS,0.027,33.086,416,US Census 1990
FITZGERALD,0.027,33.113,417,US Census 1990
STOKES,0.027,33.14,418,US Census 1990
DOYLE,0.027,33.167,419,US Census 1990
SHERMAN,0.027,33.193,420,US Census 1990
SAUNDERS,0.027,33.22,421,US Census 1990
WISE,0.027,33.247,422,US Census 1990
COLON,0.027,33.274,423,US Census 1990
GILL,0.027,33.3,424,US Census 1990
ALVARADO,0.027,33.327,425,US Census 1990
GREER,0.026,33.353,426,US Census 1990
PADILLA,0.026,33.38,427,US Census 1990
SIMON,0.026,33.406,428,US Census 1990
WATERS,0.026,33.432,429,US Census 1990
NUNEZ,0.026,33.459,430,US Census 1990
BALLARD,0.026,33.485,431,US Census 1990
SCHWARTZ,0.026,33.511,432,US Census 1990
MCBRIDE,0.026,33.536,433,US Census 1990
HOUSTON,0.026,33.562,434,US Census 1990
CHRISTENSEN,0.026,33.588,435,US Census 1990
KLEIN,0.026,33.614,436,US Census 1990
PRATT,0.026,33.64,437,US Census 1990
BRIGGS,0.026,33.666,438,US Census 1990
PARSONS,0.026,33.692,439,US Census 1990
MCLAUGHLIN,0.026,33.717,440,US Census 1990
ZIMMERMAN,0.026,33.743,441,US Census 1990
FRENCH,0.026,33.769,442,US Census 1990
BUCHANAN,0.026,33.794,443,US Census 1990
MORAN,0.026,33.82,444,US Census 1990
COPELAND,0.025,33.845,445,US Census 1990
ROY,0.025,33.871,446,US Census 1990
PITTMAN,0.025,33.896,447,US Census 1990
BRADY,0.025,33.922,448,US Census 1990
MCCORMICK,0.025,33.947,449,US Census 1990
HOLLOWAY,0.025,33.972,450,US Census 1990
BROCK,0.025,33.998,451,US Census 1990
POOLE,0.025,34.023,452,US Census 1990
FRANK,0.025,34.048,453,US Census 1990
LOGAN,0.025,34.073,454,US Census 1990
OWEN,0.025,34.098,455,US Census 1990
BASS,0.025,34.122,456,US Census 1990
MARSH,0.025,34.147,457,US Census 1990
DRAKE,0.025,34.172,458,US Census 1990
WONG,0.025,34.197,459,US Census 1990
JEFFERSON,0.025,34.221,460,US Census 1990
PARK,0.025,34.246,461,US Census 1990
MORTON,0.025,34.271,462,US Census 1990
ABBOTT,0.025,34.295,463,US Census 1990
SPARKS,0.025,34.32,464,US Census 1990
PATRICK,0.024,34.344,465,US Census 1990
NORTON,0.024,34.369,466,US Census 1990
HUFF,0.024,34.393,467,US Census 1990
CLAYTON,0.024,34.417,468,US Census 1990
MASSEY,0.024,34.442,469,US Census 1990
LLOYD,0.024,34.466,470,US Census 1990
FIGUEROA,0.024,34.49,471,US Census 1990
CARSON,0.024,34.514,472,US Census 1990
BOWERS,0.024,34.538,473,US Census 1990
ROBERSON,0.024,34.563,474,US Census 1990
BARTON,0.024,34.587,475,US Census 1990
TRAN,0.024,34.611,476,US Census 1990
LAMB,0.024,34.635,477,US Census 1990
HARRINGTON,0.024,34.659,478,US Census 1990
CASEY,0.024,34.683,479,US Census 1990
BOONE,0.024,34.706,480,US Census 1990
CORTEZ,0.024,34.73,481,US Census 1990
CLARKE,0.024,34.754,482,US Census 1990
MATHIS,0.024,34.778,483,US Census 1990
SINGLETON,0.024,34.801,484,US Census 1990
WILKINS,0.024,34.825,485,US Census 1990
CAIN,0.024,34.849,486,US Census 1990
BRYAN,0.024,34.872,487,US Census 1990
UNDERWOOD,0.024,34.896,488,US Census 1990
HOGAN,0.024,34.92,489,US Census 1990
MCKENZIE,0.023,34.943,490,US Census 1990
COLLIER,0.023,34.966,491,US Census 1990
LUNA,0.023,34.99,492,US Census 1990
PHELPS,0.023,35.013,493,US Census 1990
MCGUIRE,0.023,35.036,494,US Census 1990
ALLISON,0.023,35.059,495,US Census 1990
BRIDGES,0.023,35.083,496,US Census 1990
WILKERSON,0.023,35.106,497,US Census 1990
NASH,0.023,35.129,498,US Census 1990
SUMMERS,0.023,35.152,499,US Census 1990
ATKINS,0.023,35.175,500,US Census 1990
WILCOX,0.023,35.198,501,US Census 1990
PITTS,0.023,35.221,502,US Census 1990
CONLEY,0.023,35.244,503,US Census 1990
MARQUEZ,0.023,35.267,504,US Census 1990
BURNETT,0.023,35.29,505,US Census 1990
RICHARD,0.023,35.313,506,US Census 1990
COCHRAN,0.023,35.335,507,US Census 1990
CHASE,0.023,35.358,508,US Census 1990
DAVENPORT,0.023,35.381,509,US Census 1990
HOOD,0.023,35.404,510,US Census 1990
GATES,0.023,35.427,511,US Census 1990
CLAY,0.023,35.449,512,US Census 1990
AYALA,0.023,35.472,513,US Census 1990
SAWYER,0.023,35.495,514,US Census 1990
ROMAN,0.023,35.517,515,US Census 1990
VAZQUEZ,0.023,35.54,516,US Census 1990
DICKERSON,0.023,35.562,517,US Census 1990
HODGE,0.022,35.585,518,US Census 1990
ACOSTA,0.022,35.607,519,US Census 1990
FLYNN,0.022,35.63,520,US Census 1990
ESPINOZA,0.022,35.652,521,US Census 1990
NICHOLSON,0.022,35.675,522,US Census 1990
MONROE,0.022,35.697,523,US Census 1990
WOLF,0.022,35.719,524,US Census 1990
MORROW,0.022,35.741,525,US Census 1990
KIRK,0.022,35.763,526,US Census 1990
RANDALL,0.022,35.785,527,US Census 1990
ANTHONY,0.022,35.807,528,US Census 1990
WHITAKER,0.022,35.829,529,US Census 1990
OCONNOR,0.022,35.851,530,US Census 1990
SKINNER,0.022,35.873,531,US Census 1990
WARE,0.022,35.895,532,US Census 1990
MOLINA,0.022,35.916,533,US Census 1990
KIRBY,0.022,35.938,534,US Census 1990
HUFFMAN,0.022,35.96,535,US Census 1990
BRADFORD,0.022,35.982,536,US Census 1990
CHARLES,0.022,36.003,537,US Census 1990
GILMORE,0.022,36.025,538,US Census 1990
DOMINGUEZ,0.022,36.046,539,US Census 1990
ONEAL,0.022,36.068,540,US Census 1990
BRUCE,0.022,36.09,541,US Census 1990
LANG,0.021,36.111,542,US Census 1990
COMBS,0.021,36.132,543,US Census 1990
KRAMER,0.021,36.154,544,US Census 1990
HEATH,0.021,36.175,545,US Census 1990
HANCOCK,0.021,36.196,546,US Census 1990
GALLAGHER,0.021,36.218,547,US Census 1990
GAINES,0.021,36.239,548,US Census 1990
SHAFFER,0.021,36.26,549,US Census 1990
SHORT,0.021,36.281,550,US Census 1990
WIGGINS,0.021,36.302,551,US Census 1990
MATHEWS,0.021,36.323,552,US Census 1990
MCCLAIN,0.021,36.344,553,US Census 1990
FISCHER,0.021,36.365,554,US Census 1990
WALL,0.021,36.386,555,US Census 1990
SMALL,0.021,36.407,556,US Census 1990
MELTON,0.021,36.428,557,US Census 1990
HENSLEY,0.021,36.449,558,US Census 1990
BOND,0.021,36.47,559,US Census 1990
DYER,0.021,36.491,560,US Census 1990
CAMERON,0.021,36.511,561,US Census 1990
GRIMES,0.021,36.532,562,US Census 1990
CONTRERAS,0.021,36.553,563,US Census 1990
CHRISTIAN,0.021,36.573,564,US Census 1990
WYATT,0.021,36.594,565,US Census 1990
BAXTER,0.021,36.615,566,US Census 1990
SNOW,0.021,36.635,567,US Census 1990
MOSLEY,0.021,36.656,568,US Census 1990
SHEPHERD,0.021,36.677,569,US Census 1990
LARSEN,0.021,36.697,570,US Census 1990
HOOVER,0.021,36.718,571,US Census 1990
BEASLEY,0.02,36.738,572,US Census 1990
GLENN,0.02,36.758,573,US Census 1990
PETERSEN,0.02,36.779,574,US Census 1990
WHITEHEAD,0.02,36.799,575,US Census 1990
MEYERS,0.02,36.819,576,US Census 1990
KEITH,0.02,36.84,577,US Census 1990
GARRISON,0.02,36.86,578,US Census 1990
VINCENT,0.02,36.88,579,US Census 1990
SHIELDS,0.02,36.9,580,US Census 1990
HORN,0.02,36.92,581,US Census 1990
SAVAGE,0.02,36.941,582,US Census 1990
OLSEN,0.02,36.961,583,US Census 1990
SCHROEDER,0.02,36.981,584,US Census 1990
HARTMAN,0.02,37.001,585,US Census 1990
WOODARD,0.02,37.021,586,US Census 1990
MUELLER,0.02,37.041,587,US Census 1990
KEMP,0.02,37.061,588,US Census 1990
DELEON,0.02,37.081,589,US Census 1990
BOOTH,0.02,37.101,590,US Census 1990
PATEL,0.02,37.121,591,US Census 1990
CALHOUN,0.02,37.14,592,US Census 1990
WILEY,0.02,37.16,593,US Census 1990
EATON,0.02,37.18,594,US Census 1990
CLINE,0.02,37.2,595,US Census 1990
NAVARRO,0.02,37.22,596,US Census 1990
HARRELL,0.02,37.24,597,US Census 1990
LESTER,0.02,37.259,598,US Census 1990
HUMPHREY,0.02,37.279,599,US Census 1990
PARRISH,0.02,37.299,600,US Census 1990
DURAN,0.02,37.318,601,US Census 1990
HUTCHINSON,0.02,37.338,602,US Census 1990
HESS,0.02,37.358,603,US Census 1990
DORSEY,0.02,37.377,604,US Census 1990
BULLOCK,0.02,37.397,605,US Census 1990
ROBLES,0.02,37.416,606,US Census 1990
